Review Title,Review description,No of stars,Review given by,Date of review
Worth upgrading from a fire 7? Yes,So far so good. Bought this to replace my daughters old fire 7. Bigger screen and much better quality. She loves it. Mainly uses it to watch YouTube and play games.Watch the price though. I bought this in November for her birthday and the price went down by £30 during Black Friday 😡,4.0,Huntsman,26 November 2018
"Amazon Fire 8- excellent,","I love this tablet, I got it to replace my aging iPad, and so far it's a winner!",5.0,Ann Thornett,16 October 2018
Great product and performance x,Really impressed. I usually use iPad but bought this to take to gym etc and it does almost everything that iPad does. I’ve bought memory card and I’m looking forward to saving films and tv to watch on journeys. Very happy with purchase. Impressed that my kindle library automatically transferred x,5.0,Maria W,3 January 2020
Good value tablet,Good value great product especially as I have amazon prime you get music and video as part of package to listen and watch,5.0,Chris 999,22 March 2020
Great value for money,Bought this as my fire 7 broke. Got a better price from shop. Much quicker browsing the web than my fire 7.. I only use it for browsing email and games Prime video and music.Great value and easy to use .I would definitely recommend.,5.0,Lola,3 August 2020
great product - especially for the money,I have had kindles for years - but needed a higher memory and a bigger screen - so this HD8 fits the bill.and although I haven't used it much yet the voice activation Alexa is promising to be a major plus.,5.0,cal,17 February 2020
Forget sharing stuff!,"I like it for most things but crucially it won't copy the ""share"" link on YouTube or even allow "" share to facebook"". As I often share music with friends and family, this lack of functionality loses two stars.",3.0,Shockleader,18 September 2019
My 3rd Fire.,"I already had an (aging) Fire and s this was a logical upgrade. It's so easy as everything is waiting there ready to move over. But, this is thinner , bigger and smarter than its predecessor, and I upgraded to he larger capacity, so at the moment I am really pleased.",5.0,Tony M,12 December 2018
Very good for the price,This was a Birthday present from my Wife. I have a IPad but cannot use all the apps that I already own from Amazon AppStore’s and Play Store from when I owned an Android tablet. I can now use from both outlets. I am very happy with all aspects of Kindle Fire HD 8.,5.0,Jennifer Ann Small,6 February 2020
Bought to replace fire 7 hdx,"Love the screen and function is great but for me a little large as bought it to replace my hdx7, I would have liked to have had a 7 inch again but there isn't one that's hd and 32gb. It is a great but if kit  though, would recommend.",5.0,Trudy Parsons,22 April 2019
Great item - should have bought a bigger memory though!,Its not the products fault but if I can give anyone tip it would be to buy one of the bigger memory ones. I only bought the 16gb one and used the memory up in an hour as I use it to download films and programmes to watch offline rather than using it so much for books.I have put an additional memory card in it but for the extra expense I should have just bought the bigger one.Great kindle though and really good for watching films on (apart from in the sun as you can't see the screen),5.0,Sarah K,26 July 2019
Almost perfect,Changing from my beloved fire HDX.  But still a great improvement.  I read a lot of books with diagrams and really clear now.  Also like the scrolling mode.Interface a little cluttered but quickly used to it.Only gripe is that there is a loud chime when switching on from power off.  Cannot disable.  Very loud in the middle of night.  Leaving powered on halves the battery duration...,5.0,EzBasil,11 June 2019
Didn't work,Bought this and had to take it back. Quite simply it would not charge so it couldn't work. I have to say that this is the first Fire tablet I've ever a problem with (We've got 5 starting from 1st gen). This won't stop me buying others.,1.0,Kindle Customer,10 July 2020
Good value,Screen quality is good - brightness tends to alter on its own which can be a bit annoying!Not too impressed with battery life - my previous Fire seemed to last longer between charges.All in all value for money particularly when bought at discount price on Prime day.,4.0,Oppo,1 August 2019
"Good for people with cognitive, Eyesight & fatigue.","I have been able to read print for longer, the first time I have been able to read for more than 5 minutes in 30-yrs.Now I can read for more than an hour. Font choice & print size are just amazing & varied.Thank you, Amazon Tech people.",5.0,StephenWhiteLion,10 February 2020
Second review.,"Larger screen, extra features including hands-free Alexa. Definitely worth-while replacement. Pity about the case! I am still waiting after 10 days, despite having contacted both Caseable and the carrier. Case delivered within last few minutes!  It looks as though they have now switched to Hermes, who are obviously much more efficient than the previous carrier.",5.0,Jeepybee,24 January 2019
"Perfect size, particularly for reading.","Bought to replace my previous Kindle as the battery was dead.  Used daily both for reading and playing games.  I wouldn’t be without it.  Perfect size, not too heavy and fits into handbag.  Just great.",5.0,Jj,5 October 2019
Key pad is small,I received this as a present and have been trying the functions. Some things are not intuitive compared to an IPad so it has taken me some time to become accustomed. That is why I have it four stars,4.0,Mrs. S. Middleton,19 December 2019
Faulty charger,"I am extremely disappointed, this is my 4th kindle fire and the worst yet. I am an avid reader and I am finding it e extremely frustrating that it can be I. Charge for 16 hours and only have 17% charge.  The charger is does not fit the kindle at all well and it is this that I feel is causing the problem. I spend hundreds of ££££ on books and feel indeed to stick with the kindle but very frustrated.",1.0,claybarn,20 May 2019
Ace for watching Netflix!!,Great for what I wanted it for - to watch Netflix and to go on the tinterweb. You can pair Bluetooth speakers to it as well. Bought in Black Friday sale so was an absolute bargain price wise. I love my new kindle!! ♥️♥️,4.0,Busybee,1 January 2020
Amazing gadget with Alexa,"Bought it for our 7 year old son. Wasn't sure if we have to go for this one or the fire hd8 kids tablet. In the end, decided to  go with this one. Alexa is amazing. Although it does at times thinks we are talking to in even when we are not! But no issues so far. it is fast as well. Only downside is that the price went down in a few days after we bought it due to early black Friday sale. Wish we had waited and we would have saved ourselves some money!",4.0,Kumara Raghavendra,10 December 2018
Fired up !,"I use my kindle fire primarily for reading and the fire 8 is a great size as I wear glasses and my eyes fire with reading but with the settings it has been a great upgrade from the fire 7. Netflix and Amazon Prime video is used a lot when my granddaughters get it ,google,bing,Sky YouTube can all be used in the fire ,I haven't came across something I really dislike about this tablet .",5.0,Neil Brunton,31 January 2019
Lifeline,"This is my 3rd love it, would not be without it especially as we are now.",5.0,Mrs. D. W. Hornby-spence,20 March 2020
Value for Money,"For the Black Friday price a no-brainer. Pleasantly surprised how useable it is especially after adding Google Play Store and apps. Kindle app disappointing as font seems too small then goes straight to huge, tried on several different books.Glad I bought this and not my other choice of android tablet at 5 times the price.",4.0,Petercb,10 December 2018
Lovely kindle,"This is my 4th Kindle in the last 10 years , my last ones battery wasnt lasting long , they all have been great couldn't be with out one , I got this at a good price so thought why not .",5.0,tara,18 February 2020
Would not be without it.,"I have an iPad and wanted something cheaper for on the go..I am amazed at the brilliance of this device I absolutely love it.I use it to listen to audible relaxing in the bath, or even watch prime video..just the best.",5.0,JM Manington,6 May 2019
Excellent value for the money.,"Decent 8"" tablet that is hard to beat at that price. The only niggles I have are the advert you have to clear to wake it up, and the icon layout in the home pages is a little restrictive. Haven't spent too much time in the app store but I gather there's less choice than in the regular Android app store, which could be annoying if your favourite app isn't available. Otherwise, it all seems very good. Battery life is good and the display seems to be pretty good as well. All in all, very happy.",5.0,B. A-C,20 April 2019
Look great works great I'm impressed,The tablet came in excellent condition and working fine I don't know about battery life as of yet because it was bought as a gift for Christmas. So far very happy with this product thank you,5.0,Rebecca Lee,10 October 2019
Faster & smoother,"I have a Kindle Fire 5th generation, and decided it was time tp upgrade to the 8th Gen. I've noticed a marked difference in the speed that apps are run, and even browsing the internet seems quicker.Also, now I can take the older one with me when away from home, and use the new one at home.",5.0,Hoppo_UK,29 March 2019
CAN NOT GET IT,"I DO LIKE THE LOOK OF THE FIRE BUT VERY DISAPPOINTED WITH IT I DON'T GET HOW TO GET MY DOWNLOADS ITS SO CONFUSING, I EXPECTED TO GET HOME AND TURN IT ON AND GO BUT NO I  AM STRUGGLING HIT AND MISS THEN I FIND OUT A LOT OF PEOPLE HAVE PROBLEMS AND IT CAN BE UP TO A YEAR OR 2 TO FIND OUT HOW IT WORKS GRRRRR",3.0,Linda Ackrel,8 March 2020
Great tablet at a great price. Get one.,"Nice tablet at sale price, I haven't set this one up yet as I am still using my present same size tablet, which is still working perfectly. You won't find a better tablet as this one for the same price. Bargain.",5.0,oxocube,8 December 2019
Very easy to use,"The battery runs out very quickly.... unless I switch the tablet off at regular interval. I don't think it last up to 10 hours but, in all honesty.  I have not closely monitored the battery life closely. Very good tablet otherwise.",5.0,Rose,25 July 2019
Can hold a library of books.,I am able to take a variety of reading material with me when holidaying as well as being able to watch films and programs on my Prime account. Sorted!,5.0,Keith G Lockwood,11 March 2020
Great product,Easy to set up and useful help instructions. I am using it to save having to print off documents needed at meetings. Downloads are very quick and storage is adequate for my purposes. I also use its e book reading facilityIt does everything I need and was a terrific bargain at only £55.,5.0,JD,10 June 2019
Very easy to use,"This is my second Fire tablet.  I was having a few issues with the original one, mainly involving internet/new apps so decided to invest in a new one.  Very impressed that everything from the original transferred to the new one so no set-up involved.  Mostly used for reading but also use as an alarm (Thanks Alexa!).  Still finding my way around the new device but all in all very good.  Would be nice to have 4G option if no WIFI available.",4.0,Sheila Reader,7 December 2018
Getting to know it!,"I think this will be good for travelling. I will be able to take this instead of my Kindle and my tablet - that is the plan. I am not technical, it is not easy. I wish these things came with an instruction leaflet/ manual. I prefer my laptop, always.",4.0,Ellengarth,22 December 2018
Excellent All-Rounder,I bought this on 'Black Friday' for £49 - Downloading 4 simple files turns it into a proper Android tablet with full access to Google Play Store (Amazon install their own operating system) and it's very simple to do a factory reset if you need/want to - Very pleased indeed with my purchase.,5.0,S. Entwistle,27 November 2018
Sensitive,I like everything about my new kindle especially the added bonus of Alexa but I do feel it's a bit sensitive to touch as a page tends to change without any touching of the keys.I would like to know if any other kindle user is having the same type of thing.,4.0,pezza,20 December 2018
don't buy if you want to use your kindle free standing,"it doesn't work well as a stand. I use the kindle for revipes, sewing and yoga advice and tips. I want to use it as a stand alone machine my previous cover worked well but not this one. Other than that it does its job",3.0,Lydia Plackett,6 January 2019
Fire HD 8 Tablet,"The only thing I dislike is the continuous adverts that interrupt what you are doing. If I want a certain game I will look for it myself. So, apart from that I love my new tablet.",4.0,S H.,5 March 2019
My 5th Kindle,"This is the second Fire 8, the first was lost!As I travel a lot, the option to read, listen and watch prime with a single small unit is all I can ask.The battery life is the only thing that lets the unit down, it can be hungry if the WiFi and Bluetooth are both on.Highly recommended",5.0,Mark R,23 July 2019
Good device but doesn't have the apps I'm looking for,"Works quite well but a bit limited in choice of apps. My intention was to use the tablet as a remote for the different home automation requirements but am unable to find required apps (looking for easy lighting, Somfy Connexoon, Phillips Hue, Hive, B&O  utilities, Phillips TV remote, etc., etc.)",4.0,Q802USB user,23 November 2019
Brilliant!,"This is my 4th Kindle, l bought two from QVC a while ago; one for me, one for my husband. The charging port failed on mine sadly so it is now useless. Not covered apparently.They still are an awesome bit of kit, no qualms buying another. Top tech!😁",5.0,Caz B,16 March 2019
Worth the money,"A massive improvement on my previous kindle, it's as good as my tablet without a doubt,  I'm very pleased with my purchase,  it's clear to read and watch, good battery life and I'd definitely recommend this fire hd",5.0,B. Hewitson,1 July 2019
Excellent portable size,"Bought this as I find searching the web on a mobile increasing difficult size wise.  Really impressed with its size, portability, weight and excellent screen quality.  Happy I bought it.",5.0,any mouse,11 June 2019
We like it,We like that software allows you to set a upper and lower age limits. So not too many babyish stuff comes on.I like the multi person log inAccess for parent and child on same device.,5.0,Jax,12 January 2020
Limited apps available.,"Good for streaming, Kindle books and games but little use for anything less frivolous. Also a very poor selection of third party app availability so not really ideal for me.",3.0,hoyhoy,15 January 2019
But something else less complicated.😐,Had to get a new kindle as battery went wrong. New one very difficult to start and get my documents from the old one. Had to takeTo computer expert. Cannot get it to stop trying to get me to sort my pictures into family groups so cannot get my picturesstraight away. Would not get another kindle.,3.0,Etty,4 September 2019
Does it's job.,"I use this product for general browsing, quick access for crossword solutions etc. It does it's job reasonably well. Long battery life. Downsides.....too much Amazon, too much selling, too much flitting about to unwelcome sites due to sensitive screen, variable screen definition, a bit slow compared to my wifes HUDL, not too keen on Silk browser. Considering its price, overall, probably reasonable value for money.",3.0,Jed,25 January 2020
Junk,"Junk. The second one I've bought. The charging port stopped working in the first one and this one just stopped working properly, just a month after the warranty ran out. Junk.",1.0,laroc68,24 April 2021
Works well enough.,Nice little tablet. It works well for most things. Also the updating of apps across devices lacks. And there’s no instructions on how to use info there’s any short cuts etc.,4.0,S M Knight,1 September 2019
Finally got one,I've avoided Kindles for years because I thought they were locked down to Amazon apps only but you can side load Google Play which means your can use whatever apps you like. I'm loving my Kindle.,5.0,D. A. JONES,14 December 2019
Used daily,"Bought as a relacement for the original Kindle Fire, sharper, crisper screen and runs all the tasks asked of it.Battery life is goood and is used on a daily basis without any problems at all!",5.0,Steve_Lincs,15 January 2021
Kindle Douse,I love my Kindle Fire7HD & bought this as a replacement. I like the size and shape. It reminds me of the very 1st KindleFire HD.  The only negative for me is the quality of the  picture  it’s dull & doesn’t seem like  it’s HD.,3.0,Hip chick,29 December 2018
Best priced tablet,"Great tablet, perfect for kids, you can't beat this on price if you get it at Black Friday sale or similar. Very happy with it. We had it for 6 months now no issues.",5.0,edina,19 June 2020
This product is the worst fire yet.,"Quite possibly the worst fire i have purchased. The Wi-Fi constantly drops out, making it impossible to do anything which requires Wi-Fi connection.",1.0,Kindle Customer,26 January 2019
Great kit,"Needed a replacement for my clapped out Kindle, and this fits the bill and more. All my cache of downlaoded Kindle books were automatically transferred over. Yet to find any fault with it.",5.0,Amazon Customer,31 July 2019
A great upgrade to a favourite product,My existing Kindle was pretty old and I'd cracked the screen which affected the functionality and this was bought by my family as a present to replace it. I thought it would be much the same but the HD really brings something extra to the mix. (This time I have also bought a protective screen cover for it!),5.0,J B.,13 September 2019
Kindle,"I don't find it any different to the Kindle fire I had previously, that just stopped working. I have yet to discover anything extra!",3.0,Amazon Customer,20 August 2019
Best of both worlds,Brought this for my husband to listen to his audiobooks as he is blind now due to illness.and I use it when it’s free love it brilliant pictures and colour,5.0,Amazon Customer,12 May 2019
Expected more from this tablet,"Basic, not too impressive. If you take into account that the device is Amazon tool and controlled by amazon and you committed to amazon, its OK.",3.0,Zac,15 September 2019
Great price and simple to use.,Simple and straightforward. No problems encountered in using this and this being used by my two year old grand children when they come round.  It’s an all round great product.,5.0,Ron1621,20 February 2020
Great product except charging point fragile,This was a replacement for previous Kindle which worked perfectly except for the charging point. Unfortunately previous kindle was just out of warranty,5.0,Kindle Customer,6 August 2019
Does everything you need to do on it.,"Love my Amazon kindle, wouldn't be without it. My last one fell in the bath and wouldn't work again so ordered this one straight away and it arrived in 24 hours.",5.0,serena bennett,12 April 2019
very pleased,"I wanted to upgrade my Kindle 7 to something slightly bigger and the Fire 8 does the job, with larger screen size and HD clarity.",5.0,DEREK,25 November 2019
Great 👍,I love my new kindle ta blet and cover they were a Christmas present my previous one is bigger and heavier,5.0,Shirleyhilton,8 February 2020
Good product,"Satisfied with the kindle,I use it mostly for e book reading. would now like you to credit me the 20% discount promised off If I purchased a Kindle to replace my old one which could not be supplied with a new battery by you.Thank youMichael Scott",5.0,Michael Scott,28 January 2019
Excellent product for the price,Overall great product … music organiser could be better between music on sd card and play … if that makes sense ...,5.0,Squibble,25 August 2019
Great quality long battery life great for a 4 hour flight,Watching videos screen quality is fantastic. Also playing quizzes emailing shopping would highly recommend the kindle fire 8 hd,5.0,wilber,15 October 2019
Well worth the money,Good piece of kit. Well worth the money. Only irritating thing is the ads. Removing them is a complete pain,4.0,B. D. Givans,8 August 2019
As yet not sure,Mostly the size as it is easy to carry around. Have not had it long enough to give a fair rating my grandchildren have used it more than me for games,5.0,Pat,14 May 2019
Fantastic Hd 8 fire tablet,"This tablet is first class , Easy to use and links me to amazon prime video and all that amazon has to offer. The screen is clear and in Hd too. Excellent for the price will highly recommend.",5.0,curt71,5 December 2019
How to transfer all the data from old kindle to new one,I use my kindle like a tablet. I mostly play word games. This is my third kindle and I am very disappointed that all the games I am signed into I have to start from the beginning. None of my games show where I have reached or how many points I have accrued. Consequently I am still using number two with the smashed screen!!,3.0,meggymoo,19 January 2020
Quick feedback,Not had it two minutes but already asked to leave feedback.Works fine and picture is good. Battery life fine and happy with purchase.,5.0,M. H. Reeve,30 August 2019
Not bad,I got this to replace my previous hd fire 8.9 has not got all facilities of that but good value for money  so not quite as good but not bad,5.0,Ro,12 October 2019
It Works ..,"Holding Such Helpful Aces in The Pack, It's a Nice Size .. It's also at Least, an Extra Physical Arm and an entire Extra Layer of helpful human brain cells .. Wouldn't want to be without so much so i'm tempted to purchase a 2nd so as to have backup ..",4.0,Bill Wright,21 March 2019
worth it for the price,I had no dislikes for the price its great i also got an s d card very happy man thinking of getting a few more for the grandkids for Christmas thank you hope this helps,5.0,brocky,27 October 2019
Hard at first to use but gets easier.,Found it hard to use at first tries to make you buy add-ons and limited to what Amazon wants you to use.,4.0,J W,2 December 2020
Convenient size,"Good tablet, video quality is very good, not too small or too big, keeps my mind occupied on my 12 hour shifts",5.0,RapidEntry2012,7 November 2019
Fantastic battery life.,I bought this for my wife for Christmas. Battery life is astounding and picture is sharp and clear. She uses the kindle app mainly and loves the choice of books available. Highly recommended.,5.0,Frazer,18 January 2019
Good budget tablet,I bought this for my girlfriend and she uses it a lot however we find it annoying that you get adds on the lock screen of a product you've purchased and alexa seems to work only around 50 percent of the time. It is good for the price while on sale however.,3.0,Thomas L,15 July 2020
A neat smart looking tablet with very good performance,"A useful tool to keep around for quick internet access, looking at Amazon Prime content and photos stored. Very pleased with the tablet which is easy to use.",5.0,Jimbo,27 March 2019
Great tablet,"Was given the tablet for my birthday and I’m really pleased with it. Easy to use and a good size. It does everything I want to do on a tablet. I have been use to an iPad and although there aren’t as many apps etc, it’s fine for what I need.",5.0,Sue S,23 June 2019
Without special offers LIE!,I paid extra to remove ads and I keep getting ads!.Stop spamming me with #athome  #athome #athomeDon't buy this until Amazon stop lying about products.,1.0,Darkerthan25,28 April 2020
Great buy,"Very happy with purchase, brill for games for my son and love the fact u can have a profile for adult and separate one for kids",5.0,rosie,5 September 2019
Very good producr,Like the bigger screen. Dont like the brightness adjuster. On the old one you just swiped down and selected it. Now you have to swipe down pick settings and select the correct menu then change it.,4.0,D Hilliard,29 February 2020
Good tablet,Think fire hd offers great value for money. Use mainly for reading and it’s also good for casual web browsing. Very happy with purchase.I have no complaints.,5.0,RL,25 July 2019
VERY GOOD PRODUCT,VERY GOOD ALROUND TABLET. AFTER PURCHASE( LESS THAN 3 WEEKS) AMAZON REDUCE THE PRICE BY £25.NOT VERY GOOD FOR CUSTOMER RELATIONS,5.0,Anne B.,26 August 2020
A very versatile kindle.,"An excellent tablet. Nice size, lightweight and easy to hold. I bought it for ease of use for reading. It is a good all round tablet. Delighted with my purchase.",5.0,Andrew Falconer,1 May 2019
Not so good hardware. Needs an upgrade.,"Build quality ok, very good if you're a Prime member, for music, movies, books.The not so good part is that it's a slow tablet. Hardware is not up to date for today's demanding software. Not recommended for multitasking.",3.0,Laurențiu E.,3 May 2019
Easy to set up,"This is my second fire kindle and very pleased so far, everything down loaded except my Amazon underground games.  It arrived very promptly.  Only draw back is trying to see in sun, even when I purchased anti glare screen protector.",5.0,Caroline Higgins,17 April 2019
Experiencing problems,The sound is not good and it doesn't hold the battery long. Alexa responses a nightmare she cannot hear me sometimes. Speech to text is not loud enough.,3.0,SAS Bennett,2 December 2020
Cheap but low quality,"I have been using this tablet for one year. Not happy with the quality. Not responsive at all. The touch screen doesn’t respond properly. The tablet goes down, black, and you need to press the start again. Alexa doesn’t always work, forcing to restart.It gives the sense of poor quality",2.0,Amazon Customer,26 March 2020
Tablet,"Great little tablet, its a nice size for taking out with you , quality is overall good ,battery life is good too",4.0,mini mush,2 September 2019
Great tablet,An awesome bit of kit my wife loved it and she has not put it down she is enjoying all the Amazon features it comes with inparticula the books. If you are looking for a decent tablet at a decent price get it.,5.0,Scott Vaughan,2 January 2020
It needs simplifying,I couldn't rate it properly because I instantly disliked it  because it's so difficult to find anything,2.0,v stretch,30 October 2019
Excellent Replacement,"I finally had to replace my 7 year old Fire tablet and it has been great getting to see the changes and upgrades. It was also easy to transfer all my books, music and videos from my old Fire tablet.",5.0,Dr. T,27 January 2020
Good clear screen.,"Good clear screen, excellent colour and fast charging, the cradle is useful and stores it safely.",5.0,Lindsey,3 March 2020
It takes some time to get used to it you have used other  devices and are of an older generation.,I am satisfied with my tablet so far but I feel it is a little to early to be writing this review with any informed opinion. I am still learning to use it. I am fine with Kindle for reading but finding difficultyWith downloading Whatsapp. For on this also very small!,5.0,S Stuart,4 July 2020
Ok Tablet.,It is an Ok tablet  and lasts quite long between charges. I am a bit disappointed that I can't get the same apps as I do on my Acer tablet. I like the Duolingo app but I cannot get it  on this tablet.,3.0,Leon Flinch,5 January 2019
All good,Nothing to dislike,5.0,bigdaddy,1 March 2020
Microphone not responsive,"Is there a bluetooth (not wired) microphone that will work with this? - I have to shout at it for it to respond, and any background noise makes it impossible to use by voice, which is basically the reason it was bought. Just a simple clip-on mic would make life so much easier. We managed to work out the poor volume by adding bluetooth speakers.",2.0,"Bill,Dunblane",23 November 2018
Love my fire,Not watched a video yet . Looking for a audio book. So glad i went for the without special offers. I have purchased a lovely case which arrived next day . So now i must find the time use my amazon fire hd 8 love love love it .,5.0,susan underwood,2 September 2019
8 HD tablet,"Love this tablet up to now, easy set up, brilliant colour. Have not had it long enough yet to make any other comments but so far loving it.",5.0,elaine,6 April 2019
"Perfect portability,  good for streaming and good battery life",My second fire HD 8 inch.  Just the perfect portable size whilst Prime/netflix/BBC still look great even though it's not a 1080p display,5.0,Jed,25 December 2019
"Fantastic tablet, worth the money",Love these fire tablets and purchased for all the family. Great for downloading games and also downloading programmes and films to watch on flights,5.0,Lia Howell,18 May 2020
Excellent device,excellent little device for what I use it for -browsing booking and ordering hotels and various items,5.0,Malcolm William davis,9 November 2019
Great buy.,I am glad I bought this tablet and is good value for money. It can fit in my big pocket so I  can easily take it about.,5.0,Amazon Customer,6 December 2019
Love this product,Excellent product especially for the price and the option to pay over 5 months interest free.I have an older kindle and you can tell how much the product has progressed,5.0,Ali,26 September 2019
Makes a good 2nd kids tablet.,"Brought to use as a second kids tablet, love the features Amazon provide to manage kids use, specs aren't that good for the money, would only recommend buying when on deal.",4.0,J.R.Reynolds,27 December 2019
She wanted now TV,I bought this for a Christmas gift. Although they like this device they have given it 4 stars as they don't have access to now tv on this device.,4.0,Mandy,18 January 2019
Enjoyable watching,"could have been a little larger quality really good used mostly for viewing Netflix, i player etc.",4.0,philpottt,15 January 2020
Not as good,My new Kindle does not seem as fast as my previous one and sometimes freezes when I am searching for things on the net. Apart from that it is very satisfactory!,4.0,Hilary Bayly,5 November 2019
Brilliant,"Birthday prezzie off my son , love these tablets , had my other one for at least 10 years but now updated to this one , love it",5.0,caz,19 April 2019
Value for money,I like the screen size. I like the data capacity. I like the screen clarity. The new speaker sound is a great design.,5.0,Lozza,1 April 2019
No show mode,This is the 3rd he fire tablet I've had in the past 6 months. Not one of them have I been able to get show mode. Yes have swiped down from the top no icon for show mode. Followed all instructions to the letter still no show mode. Yes I've updated it daily all to no avail. Why can I not get show mode. I give up,1.0,Amazon Customer,12 May 2019
If the kindle is compatible with windows,"It is the same as my last kindle but higher generation.The problem.is it will not connect to my laptop. Nobody at Amazon knows why.I therefore cannot down loading cd's. This was all.ok on my old kindle fire hd, regretfully the battery would not charge.So therefore had to purchase another one.",3.0,Amazon Customer,21 September 2019
Excellent all round tablet,"Really pleased with this tablet, nothing so far not to like, especially as i bought at an excellent price",5.0,ron cornforth,10 January 2020
Good quality Tablet at a bargain price,"Great tablet for the money.The only slight let down is the sound quality, but it's not that bad.Overall, highly recommended!",4.0,Ralphie,12 March 2020
Recommend,Good  Value for money and easy to use. Would recommend this tablet. Also Alexa is handy,5.0,Tilly,10 April 2020
Best decision I made!,My iPad sadly broke after 5 years and I couldn’t justify spending the money on getting a new one. I saw the amazon tablet and read some reviews and thought for the price (on sale) i’d give it a go! Best decision I ever made!! It’s just as good as the iPad for what I use it for. I use Netflix a lot and the speed is perfectly fine! Very happy with my purchase.,5.0,Hannah T.,30 December 2018
Ok,Great tablet. Would get it without the special offers though as they can be a bit of a pain,5.0,Rob,28 December 2019
Excellent cannot fault it at all,Find the messenger must better than the kik on my last  kindle.Amazing with Alexa on as well,5.0,Barbara Hughes,24 February 2020
Poor volume levels,Very disappointed with the media volume.  Can barely hear when using messaging or video calling apps.,3.0,Amazonian,6 August 2019
My 4th Fire.,"Arrived on time via prime, well packaged and easy to navigate through all aspects of a great tablet.",5.0,Barry Woolford,17 September 2019
Why no casting on the fire,I received the pad as a gift to replace my huddle I am very happy with my gift but while my huddle allowed me to cast the fire does not  What a shame!  An organisation of your magnitude is unable to provide such a vital ingredient to your I pad users is beyond understanding come on just do the right thing and add this facility.  Helen,3.0,helen main,25 March 2019
Ideal screen size,"Quick delivery and a solid product from Amazon as always. New 8"" display is an ideal hand-held size that isn't overly large for day to day use.",5.0,TheMightyParcel,27 November 2018
Get to know the item before ordering,The tablets were very good quality. however due to my age and some health problems It found it too small to use easily therefore had to return them.,5.0,Roy,4 December 2019
Good upgrade.,I bought the HD8 tablet to replace my fire 7.I love the difference in size and also the extras that come with it. Alexa included is very good.,5.0,Moshie,1 September 2019
very happy with purchase,"xmas present to myself as i wanted to upgrade my kindle. Easy to use and does what i want, only niggle is about it,s weight, rather heavy",4.0,Pat,16 February 2019
Get one. They work!,"Exactly as expected. I love kindle products. Works superbly! Got an echo to with it and that was a good idea too. I like apple products too and I really wish they would play nicely together- but until then, do not deny yourself the pleasure of amazon stuff.",5.0,Mr. Francis Kelly,2 December 2018
Small & convenient,Sound is poor but that's expected for such a mall item. lots of adverts! Otherwise quite pleased with it.,4.0,Osbert,22 December 2019
Like,"Don't use Alexa. Machine does everything I want,in fact handier than computer",5.0,ha212,22 July 2020
How to stop this happening,"I don't think it works as well as my 7"" one did its hard to turn on and when you get it on it keeps turning itself off like it's not connecting right",4.0,Kindle Customer,10 December 2018
Don’t be afraid to buy,"Fantastic, nice qualityI lovedWas my c Christmas present for my self",5.0,thaylani Tolentino,4 February 2020
Nice tablet for the money,Nice tablet for the money. Good screen and lightweight. The tablet lacks the applications of an Android tablet and it is a little slow but worth the money.,4.0,david mcfc,10 December 2018
Highly recommend,"Bought for a 7 year old. Great tablet. Perfect size, not too big, not too small. My only gripe would be that there is no button for the home screen and the little touchscreen circle isn’t always visible to close down an app. Other than that it’s a great tablet for the price. Only sorry I didn’t get one for myself!",4.0,Sbc1,30 December 2019
Disappointed,Not as good as my old kindle the off and volume buttons stand out so am constantly pressing them unintentionally. Also paid the extra for amazon case which is good for standing up but poor for holding,3.0,birdy,17 January 2020
Good screen and speakers but cannot link to television via Fire TV stick,"Upgraded from Fire 7 tablet, not disappointed, good screen and speakers, show mode feature good, would have given 5 stars but some features from the Fire 7 tablet not available, ie, does not link to television through my Fire stick, also not able to get AVG security from the app store",4.0,3Peaks,10 December 2018
Very good tablet.,I got this for my better half and she lives it.Uses it a lot.,5.0,Andy.,4 February 2020
"HD 8  fire Tablet with Alexa,16gb","Very easy to use and ideal size to be held .Can take photos, get Facebook and any other social media .use like a hand held computer.",4.0,Amazon Customer,19 December 2018
Issues with dim screen but otherwise works well,Functionality is great and it's the perfect size for work but the screen in this Gen seems dimmer and not as sharp as our old one.,4.0,Laura C,14 February 2019
Nice piece of kit!,"Lots more possibilities than my previous ""Fire"", haven't had it long, but I'm very happy with it.",5.0,Suze,9 August 2019
A good  quality tablet that's easy to use.,"I really like it, easy to use, good audio quality.",5.0,A.L.K. Shirran,27 January 2020
Great,Brought for my elderly mother to read books.  She has found it easy to use and set up,5.0,Brian M.,20 May 2020
I'd never buy one,Having addictive games advertised on the main screen is ridiculous. It was a free gift with a tyre purchase from ATS and its sitting unused. I can't link wireless headphones to it.,1.0,Lester,29 April 2019
Delicate!,As expected for the cost. Really delicate so Be sure to buy screen protector extra.. screen on my fire tab cracked within 2 days even as it fell from the sofa,3.0,Raviraj Apte,8 January 2019
"Cheap, ads, does basic amazon stuff well","Slow but cheap tablet, not able to sync with fire stick.. ads annoying",3.0,Kev S,2 January 2020
Does what it says and excellent value,"Overall this is a great product if you want to view movies and content from Amazon Prime as well as read books. Excellent value for money, easy to use and set up.",5.0,Gavin Finlayson,21 September 2019
The kind,I use this mainly for books and to read emails. The kindle unlimited feature was no longer available on my old kindle fire,5.0,Kindle Customer Judith,8 December 2018
